Features, Abstract features, Abstract leaf features, Abstract compound features, Concrete features, Concrete leaf features, Concrete compound features, Compound features, Leaf features, Root feature, Top features, Solitary features, Grouped features, Tree relationships, Mandatory features, Optional features, Feature groups, Alternative groups, Or groups, Mutex groups, Cardinality groups, Depth of tree, Max depth of tree, Mean depth of tree, Median depth of tree, Branching factor, Avg children per feature, Min children per feature, Max children per feature, Cross-tree constraints, Simple constraints, Requires constraints, Excludes constraints, Complex constraints, Pseudo-complex constraints, Strict-complex constraints, Features in constraints, Avg constraints per feature, Min constraints per feature, Max constraints per feature, Valid (not void), Core features, Dead features, Variant features, False-optional features, Configurations
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 2, 7, 0, 7, 4, 3, 0, 0, 0, 0, 0, 3, 3, 2.5, 3.0, 1.75, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 3, 0, 5, 0, 6
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 2, 5, 2, 6, 1, 4, 1, 0, 1, 0, 0, 4, 4, 2.67, 2, 1.4, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 20
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 2, 5, 2, 6, 1, 4, 1, 0, 1, 0, 0, 4, 4, 2.5, 2.5, 1.75, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 6, 0, 24
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 2, 5, 2, 6, 0, 5, 1, 0, 1, 0, 0, 3, 3, 2.25, 2.0, 1.75, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 30
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 1, 5, 2, 6, 1, 4, 1, 0, 1, 0, 0, 4, 4, 4, 4, 1.4, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 15
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 2, 5, 2, 6, 1, 4, 1, 0, 1, 0, 0, 4, 4, 3, 3, 1.4, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 18
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 1, 2, 5, 4, 2, 0, 2, 2, 0, 0, 0, 3, 3, 3, 3.0, 1.75, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 6, 0, 4
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 4, 7, 0, 7, 5, 2, 0, 0, 0, 0, 0, 3, 3, 1.75, 1.5, 1.75, 0.88, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 6, 0, 2, 0, 3
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 1, 7, 0, 7, 2, 5, 0, 0, 0, 0, 0, 4, 4, 3, 3.0, 1.75, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 6, 0, 18
8, 0, 0, 0, 8, 5, 3, 3, 5, 1, 4, 7, 0, 7, 1, 6, 0, 0, 0, 0, 0, 3, 3, 1.6, 1, 2.33, 0.88, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 40
8, 0, 0, 0, 8, 5, 3, 3, 5, 1, 2, 5, 2, 6, 1, 4, 1, 0, 1, 0, 0, 3, 3, 2.2, 2, 2.33, 0.88, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 21
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 2, 2, 5, 4, 1, 1, 2, 1, 0, 0, 1, 3, 3, 2.25, 2.0, 1.75, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 10
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 2, 7, 0, 7, 5, 2, 0, 0, 0, 0, 0, 5, 5, 2.67, 2, 1.4, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 6, 0, 2, 0, 4
8, 0, 0, 0, 8, 5, 3, 3, 5, 1, 3, 7, 0, 7, 2, 5, 0, 0, 0, 0, 0, 3, 3, 1.8, 2, 2.33, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 6, 0, 18
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 3, 4, 3, 5, 1, 3, 1, 1, 0, 0, 0, 4, 4, 2.25, 2.0, 1.75, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 8
8, 0, 0, 0, 8, 5, 3, 3, 5, 1, 3, 7, 0, 7, 2, 5, 0, 0, 0, 0, 0, 3, 3, 2.2, 3, 2.33, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 6, 0, 20
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 3, 7, 0, 7, 2, 5, 0, 0, 0, 0, 0, 4, 4, 2, 1.5, 1.75, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 16
8, 0, 0, 0, 8, 5, 3, 3, 5, 1, 3, 4, 3, 5, 4, 0, 1, 0, 0, 0, 1, 2, 2, 1.8, 2, 2.33, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 6
8, 0, 0, 0, 8, 5, 3, 3, 5, 1, 3, 4, 3, 5, 1, 3, 1, 1, 0, 0, 0, 2, 2, 1.8, 2, 2.33, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 16
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 2, 7, 0, 7, 4, 3, 0, 0, 0, 0, 0, 5, 5, 3, 3, 1.4, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 4, 0, 4, 0, 8
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 2, 3, 4, 5, 0, 3, 2, 0, 2, 0, 0, 3, 3, 2.25, 2.0, 1.75, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 29
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 1, 2, 5, 4, 0, 2, 2, 1, 0, 0, 1, 4, 4, 3.5, 3.5, 1.75, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 15
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 2, 7, 0, 7, 1, 6, 0, 0, 0, 0, 0, 5, 5, 2.67, 2, 1.4, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 6, 0, 11
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 2, 5, 2, 6, 3, 2, 1, 0, 1, 0, 0, 5, 5, 3.33, 4, 1.4, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 3, 0, 5, 0, 5
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 2, 2, 5, 4, 0, 2, 2, 2, 0, 0, 0, 4, 4, 2.75, 3.0, 1.75, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 6
8, 0, 0, 0, 8, 5, 3, 3, 5, 1, 1, 7, 0, 7, 2, 5, 0, 0, 0, 0, 0, 3, 3, 3, 3, 2.33, 0.88, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 6, 0, 17
8, 0, 0, 0, 8, 5, 3, 3, 5, 1, 1, 1, 6, 3, 0, 1, 2, 1, 0, 0, 1, 3, 3, 2.6, 3, 2.33, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 12
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 2, 7, 0, 7, 0, 7, 0, 0, 0, 0, 0, 3, 3, 2.67, 3, 1.4, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 30
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 1, 2, 5, 4, 1, 1, 2, 1, 1, 0, 0, 4, 4, 3, 3.0, 1.75, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 6, 0, 6
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 3, 7, 0, 7, 7, 0, 0, 0, 0, 0, 0, 4, 4, 2.33, 2, 1.4, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 8, 0, 0, 0, 1
8, 0, 0, 0, 8, 6, 2, 2, 6, 1, 5, 5, 2, 6, 5, 0, 1, 0, 1, 0, 0, 2, 2, 1.33, 1.0, 3.5, 0.88, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 6, 0, 2, 0, 3
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 1, 5, 2, 6, 1, 4, 1, 0, 1, 0, 0, 5, 5, 4.67, 5, 1.4, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 8
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 1, 5, 2, 6, 2, 3, 1, 0, 1, 0, 0, 5, 5, 4.67, 5, 1.4, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 3, 0, 5, 0, 10
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 2, 5, 2, 6, 3, 2, 1, 1, 0, 0, 0, 3, 3, 2.5, 3.0, 1.75, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 4, 0, 4, 0, 8
8, 0, 0, 0, 8, 2, 6, 6, 2, 1, 2, 5, 2, 6, 4, 1, 1, 0, 1, 0, 0, 6, 6, 3.5, 3.5, 1.17, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 5
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 1, 5, 2, 6, 1, 4, 1, 1, 0, 0, 0, 5, 5, 4, 5, 1.4, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 7
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 2, 7, 0, 7, 3, 4, 0, 0, 0, 0, 0, 3, 3, 2.5, 3.0, 1.75, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 6, 0, 9
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 3, 5, 2, 6, 0, 5, 1, 0, 1, 0, 0, 2, 2, 2, 2.0, 1.75, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 36
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 2, 7, 0, 7, 5, 2, 0, 0, 0, 0, 0, 5, 5, 3, 3, 1.4, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 6, 0, 4
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 1, 4, 3, 5, 2, 2, 1, 1, 0, 0, 0, 4, 4, 3.67, 4, 1.4, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 3, 0, 5, 0, 5
8, 0, 0, 0, 8, 5, 3, 3, 5, 1, 3, 5, 2, 6, 1, 4, 1, 0, 1, 0, 0, 2, 2, 1.8, 2, 2.33, 0.88, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 24
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 2, 7, 0, 7, 2, 5, 0, 0, 0, 0, 0, 4, 4, 2.25, 2.0, 1.75, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 10
8, 0, 0, 0, 8, 5, 3, 3, 5, 1, 2, 3, 4, 5, 1, 2, 2, 0, 2, 0, 0, 3, 3, 2.2, 2, 2.33, 0.88, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 17
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 1, 5, 2, 6, 2, 3, 1, 1, 0, 0, 0, 4, 4, 3.5, 3.5, 1.75, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 3, 0, 5, 0, 12
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 1, 7, 0, 7, 7, 0, 0, 0, 0, 0, 0, 3, 3, 2.5, 2.5, 1.75, 0.88, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 8, 0, 0, 0, 1
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 2, 4, 3, 5, 3, 1, 1, 0, 0, 0, 1, 3, 3, 2.25, 2.5, 1.75, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 6, 0, 12
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 1, 3, 4, 5, 2, 1, 2, 1, 1, 0, 0, 4, 4, 3.33, 3, 1.4, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 6, 0, 6
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 1, 3, 4, 5, 3, 0, 2, 0, 2, 0, 0, 4, 4, 3.33, 3, 1.4, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 6, 0, 7
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 1, 7, 0, 7, 6, 1, 0, 0, 0, 0, 0, 5, 5, 4.33, 5, 1.4, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 4, 0, 4, 0, 2
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 1, 7, 0, 7, 7, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3.0, 1.75, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 8, 0, 0, 0, 1
8, 0, 0, 0, 8, 5, 3, 3, 5, 1, 2, 5, 2, 6, 2, 3, 1, 1, 0, 0, 0, 2, 2, 2, 2, 2.33, 0.88, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 9
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 3, 2, 5, 4, 0, 2, 2, 1, 1, 0, 0, 3, 3, 2, 2.0, 1.75, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 10
8, 0, 0, 0, 8, 5, 3, 3, 5, 1, 2, 3, 4, 4, 0, 3, 1, 0, 0, 0, 1, 3, 3, 2.6, 3, 2.33, 0.88, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 44
8, 0, 0, 0, 8, 2, 6, 6, 2, 1, 1, 7, 0, 7, 2, 5, 0, 0, 0, 0, 0, 5, 5, 5, 5.0, 1.17, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 6
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 3, 2, 5, 4, 0, 2, 2, 1, 0, 0, 1, 3, 3, 2, 2.0, 1.75, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 17
8, 0, 0, 0, 8, 5, 3, 3, 5, 1, 2, 2, 5, 4, 0, 2, 2, 0, 1, 0, 1, 3, 3, 2.4, 3, 2.33, 0.88, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 34
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 1, 5, 2, 6, 3, 2, 1, 0, 1, 0, 0, 4, 4, 3.25, 3.5, 1.75, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 3, 0, 5, 0, 7
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 3, 5, 2, 6, 3, 2, 1, 0, 1, 0, 0, 3, 3, 2.25, 2.5, 1.75, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 3, 0, 5, 0, 8
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 1, 4, 3, 5, 3, 1, 1, 1, 0, 0, 0, 4, 4, 3.5, 4.0, 1.75, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 4, 0, 4, 0, 6
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 2, 5, 2, 6, 0, 5, 1, 0, 1, 0, 0, 3, 3, 2.75, 3.0, 1.75, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 29
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 1, 7, 0, 7, 5, 2, 0, 0, 0, 0, 0, 4, 4, 3.25, 3.0, 1.75, 0.88, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 3
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 1, 3, 4, 5, 0, 3, 2, 0, 2, 0, 0, 4, 4, 3.33, 3, 1.4, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 18
8, 0, 0, 0, 8, 5, 3, 3, 5, 1, 2, 3, 4, 4, 0, 3, 1, 1, 0, 0, 0, 2, 2, 2, 2, 2.33, 0.88, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 15
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 2, 7, 0, 7, 3, 4, 0, 0, 0, 0, 0, 5, 5, 3.67, 5, 1.4, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 3, 0, 5, 0, 6
8, 0, 0, 0, 8, 5, 3, 3, 5, 1, 3, 7, 0, 7, 3, 4, 0, 0, 0, 0, 0, 2, 2, 1.8, 2, 2.33, 0.88, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 3, 0, 5, 0, 12
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 1, 5, 2, 6, 1, 4, 1, 0, 1, 0, 0, 5, 5, 4.33, 5, 1.4, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 6, 0, 12
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 2, 7, 0, 7, 2, 5, 0, 0, 0, 0, 0, 5, 5, 3.67, 5, 1.4, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 6, 0, 12
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 1, 3, 4, 5, 2, 1, 2, 1, 1, 0, 0, 4, 4, 3.25, 3.5, 1.75, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 3, 0, 5, 0, 8
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 1, 7, 0, 7, 4, 3, 0, 0, 0, 0, 0, 4, 4, 3, 3.0, 1.75, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 3, 0, 5, 0, 8
8, 0, 0, 0, 8, 5, 3, 3, 5, 1, 3, 5, 2, 6, 3, 2, 1, 0, 1, 0, 0, 3, 3, 2, 2, 2.33, 0.88, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 3, 0, 5, 0, 10
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 3, 7, 0, 7, 4, 3, 0, 0, 0, 0, 0, 2, 2, 2, 2.0, 1.75, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 5, 0, 3, 0, 5
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 1, 7, 0, 7, 3, 4, 0, 0, 0, 0, 0, 3, 3, 3, 3, 1.4, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 6, 0, 12
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 1, 7, 0, 7, 4, 3, 0, 0, 0, 0, 0, 4, 4, 3.33, 4, 1.4, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 6, 0, 6
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 2, 7, 0, 7, 2, 5, 0, 0, 0, 0, 0, 4, 4, 3, 4, 1.4, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 6, 0, 14
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 2, 5, 2, 6, 1, 4, 1, 0, 1, 0, 0, 4, 4, 3.33, 4, 1.4, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 14
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 3, 5, 2, 6, 4, 1, 1, 0, 1, 0, 0, 4, 4, 2.25, 2.0, 1.75, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 3, 0, 5, 0, 4
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 1, 7, 0, 7, 2, 5, 0, 0, 0, 0, 0, 5, 5, 4.67, 5, 1.4, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 6, 0, 7
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 2, 5, 2, 6, 3, 2, 1, 1, 0, 0, 0, 3, 3, 2.25, 2.0, 1.75, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 4, 0, 4, 0, 4
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 1, 4, 3, 5, 2, 2, 1, 1, 0, 0, 0, 4, 4, 3, 3.0, 1.75, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 3, 0, 5, 0, 8
8, 0, 0, 0, 8, 5, 3, 3, 5, 1, 5, 2, 5, 3, 1, 1, 1, 1, 0, 0, 0, 3, 3, 1.4, 1, 2.33, 0.88, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 6
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 2, 5, 2, 6, 0, 5, 1, 0, 1, 0, 0, 3, 3, 2.5, 3.0, 1.75, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 31
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 2, 7, 0, 7, 2, 5, 0, 0, 0, 0, 0, 4, 4, 2.67, 3, 1.4, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 3, 0, 5, 0, 18
8, 0, 0, 0, 8, 2, 6, 6, 2, 1, 1, 7, 0, 7, 7, 0, 0, 0, 0, 0, 0, 6, 6, 5.5, 5.5, 1.17, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 8, 0, 0, 0, 1
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 2, 7, 0, 7, 3, 4, 0, 0, 0, 0, 0, 3, 3, 2.67, 3, 1.4, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 3, 0, 5, 0, 10
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 2, 7, 0, 7, 3, 4, 0, 0, 0, 0, 0, 4, 4, 3, 3.5, 1.75, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 6, 0, 8
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 1, 5, 2, 6, 3, 2, 1, 0, 1, 0, 0, 4, 4, 3.25, 3.5, 1.75, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 4, 0, 4, 0, 8
8, 0, 0, 0, 8, 2, 6, 6, 2, 1, 2, 7, 0, 7, 4, 3, 0, 0, 0, 0, 0, 6, 6, 3.5, 3.5, 1.17, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 4, 0, 4, 0, 4
8, 0, 0, 0, 8, 5, 3, 3, 5, 1, 2, 3, 4, 4, 1, 2, 1, 1, 0, 0, 0, 2, 2, 2, 2, 2.33, 0.88, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 6, 0, 12
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 1, 7, 0, 7, 2, 5, 0, 0, 0, 0, 0, 5, 5, 5, 5, 1.4, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 1, 0, 7, 0, 10
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 2, 7, 0, 7, 4, 3, 0, 0, 0, 0, 0, 5, 5, 3, 3, 1.4, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 3, 0, 5, 0, 5
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 3, 5, 2, 6, 4, 1, 1, 0, 1, 0, 0, 3, 3, 2, 2.0, 1.75, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 4, 0, 4, 0, 6
8, 0, 0, 0, 8, 3, 5, 5, 3, 1, 2, 7, 0, 7, 3, 4, 0, 0, 0, 0, 0, 4, 4, 3, 4, 1.4, 0.88, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 3, 0, 5, 0, 7
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 1, 7, 0, 7, 5, 2, 0, 0, 0, 0, 0, 3, 3, 3, 3.0, 1.75, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 2, 0, 6, 0, 4
8, 0, 0, 0, 8, 4, 4, 4, 4, 1, 3, 7, 0, 7, 4, 3, 0, 0, 0, 0, 0, 4, 4, 2, 1.5, 1.75, 0.88, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, Yes, 3, 0, 5, 0, 5
